,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
F/R,COMMODITIES ,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December
,"FRESH FRUIT, MANGO, RIPE, MEDIUM, 1 KG",148.73,146.11,139.61,138.25,113.36,107.5,117.85,124.54,131.34,132.97,138.43,142.03,149.87,145.51,136.12,127.37,118.37,128.63,139.26,152.98,156.87,158.39,163.04,162.72,161.43,168.21,160.34,155.77,140.76,128.4,127.71,135.72,155.48,170.34,172.27,166.28,174.31,170.31,165.64,156.66,143.17,127.66,117.69,137.64,156.07,176.83,176.87,185.49,187.63,180.15,168.27,159.91,150.5,151.14,151.5,161.66,171.98,171.71,171.11,181.16
,AVERAGE,119.0928571,117.89,112.7214286,111.82,96.52285714,87.09,94.66428571,97.46428571,100.3542857,101.3171429,105.4785714,111.4871429,116.2685714,114.3814286,109.2514286,101.2157143,94.10714286,99.52285714,107.1314286,115.38,120.3885714,123.7485714,129.0357143,132.9942857,131.4185714,130.4457143,128.2828571,124.3914286,110.8571429,99.57428571,98.36285714,110.2757143,124.02,134.4014286,134.6185714,134.8842857,140.6471429,133.2328571,130.9185714,121.5785714,107.2142857,88.84142857,94.67,111.2728571,134.1471429,150.0585714,142.8942857,147.2028571,154.8042857,143.9342857,132.87,124.0385714,118.5628571,115.5414286,116.9342857,122.7571429,131.2814286,133.2757143,135.3085714,139.5714286
,MARGIN,81.95619048,81.0625,79.96392857,81.1975,70.45035714,58.2025,68.44928571,70.73095238,68.52178571,74.30380952,76.02190476,78.28714286,81.30357143,81.06142857,80.49642857,74.96321429,66.24714286,62.41035714,77.65642857,83.0825,85.95190476,87.75190476,85.03321429,95.59928571,92.82357143,95.34571429,93.17535714,91.74142857,82.86464286,72.44928571,71.72285714,70.87238095,76.87,89.79642857,85.01357143,91.29095238,103.5321429,93.50285714,91.08607143,89.84357143,80.17428571,55.75392857,65.8325,80.09035714,99.25214286,107.9660714,105.0667857,103.5028571,109.7867857,103.9042857,85.94,85.53357143,81.61535714,78.31642857,77.51928571,88.70214286,91.05392857,98.25571429,91.70107143,99.95642857
,PINEAPPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMGATE,"Pineapple, Formosa",11.02,8.31,8.44,10.2,8.04,8.32,7.94,7.87,7.82,6.99,8.55,9.47,8.46,9.39,9.23,7.69,8.18,9.38,7.25,12.29,11.89,14.61,11.19,9.21,8.21,9.62,11.08,11.27,13.38,14.41,14.75,12.79,13.4,15.45,13.29,17.78,24.6,22.65,18.26,36.35,36.92,25.1,24.71,24.39,24.58,21.29,17.26,23.78,19.5,32,30.05,,7.17,17.81,13.25,16.94,18.47,20.73,25,25
,"Pineapple, Hawaiian",22.39,20.63,21.26,20.57,19.57,18.47,17.64,17.39,19.69,17.75,19.15,19.75,21.37,23.51,20.09,21.78,21.03,19.55,18.88,20.3,20.88,21.08,21.29,21.31,20.08,21.03,21.56,20.69,21.08,20.37,19.12,21.03,22.82,23.29,24.2,22.19,20.4,24.17,23.96,28.24,32.57,29.87,20.45,18.85,24.08,30.08,35.8,26.11,30.9,19.4,32.8,25.66,17.6,19.06,18.21,20.73,19.42,11.88,18.49,17.9
,"Pineapple, Native",,,,40,42.14,42,43.2,,,,25,,,30,,,,,,,,,,,,,,,,,,,,,,,20.28,19.73,22.88,30.61,29.14,25.13,27.48,27.82,26.48,26.69,28.36,25.63,28.18,35,34.27,20.89,22.98,24.76,17.77,34.06,40.17,28.63,23.13,34.87
,AVERAGE,16.705,14.47,14.85,23.59,23.25,22.93,22.92666667,12.63,13.755,12.37,17.56666667,14.61,14.915,20.96666667,14.66,14.735,14.605,14.465,13.065,16.295,16.385,17.845,16.24,15.26,14.145,15.325,16.32,15.98,17.23,17.39,16.935,16.91,18.11,19.37,18.745,19.985,21.76,22.18333333,21.7,31.73333333,32.87666667,26.7,24.21333333,23.68666667,25.04666667,26.02,27.14,25.17333333,26.19333333,28.8,32.37333333,23.275,15.91666667,20.54333333,16.41,23.91,26.02,20.41333333,22.20666667,25.92333333
RETAIL,"FRESH FRUIT, PINEAPPLE, PINYA, FORMOSA, MEDIUM, 1 KG",41.66,40.97,45.22,43.3,43.61,44.34,43.2,44.89,45.55,46.14,46.38,46.88,48.78,49.58,50.43,52.02,53.99,45.28,44.78,43.9,44.28,46.83,53.89,53.37,54.91,54.95,55.78,55.89,60.31,54.79,52.08,51.19,52.23,52.27,52.27,52.23,54.64,54.06,55.9,58.03,61.52,61.56,60.03,52.7,52.74,53.82,58.69,58.28,55.93,56.53,57.66,57.12,57.87,61.45,56.64,57.04,59.37,58.58,59.42,62.71
,"FRESH FRUIT, PINEAPPLE, PINYA, HAWAIIAN, MEDIUM, 1 KG",57.92,58.38,58.22,58.38,58.58,58.02,58.7,60.11,60.71,61.19,61.04,60.41,63.84,63.13,63.52,65.07,63.96,62.98,60.32,61.86,62.36,64.32,67.38,67.98,66.8,66.2,70.04,72.38,73.76,72.36,66.13,64.18,65.49,68.05,69.76,70.43,71.76,75.86,77.04,77.29,76.36,77.54,71.68,68.53,71.25,70.89,71.48,73.01,74.08,76.47,81.32,83.09,82.18,80.08,74.87,77.18,78.73,81.57,82.3,84.65
,"FRESH FRUIT, PINEAPPLE, PINYA, MEDIUM, 1 KG",58.61,58.75,58.48,57.63,57.53,56.9,55.64,55.29,55.72,56.91,57.27,57.85,57.61,58.04,58.26,58.76,59.07,58.22,58.25,58.97,59.84,60.68,61.54,62.29,62.95,62.96,62.85,63.68,63.85,63.44,61.56,62.29,63.62,64.53,65.31,65.33,66.58,67.88,67.3,67.92,67.8,67.34,66.15,65.43,67.14,66.85,68.19,69.83,71.26,73.65,73.86,74.62,74.79,74.12,73.1,72.3,73.43,73.77,74.96,75.8
,AVERAGE,52.73,52.7,53.97333333,53.10333333,53.24,53.08666667,52.51333333,53.43,53.99333333,54.74666667,54.89666667,55.04666667,56.74333333,56.91666667,57.40333333,58.61666667,59.00666667,55.49333333,54.45,54.91,55.49333333,57.27666667,60.93666667,61.21333333,61.55333333,61.37,62.89,63.98333333,65.97333333,63.53,59.92333333,59.22,60.44666667,61.61666667,62.44666667,62.66333333,64.32666667,65.93333333,66.74666667,67.74666667,68.56,68.81333333,65.95333333,62.22,63.71,63.85333333,66.12,67.04,67.09,68.88333333,70.94666667,71.61,71.61333333,71.88333333,68.20333333,68.84,70.51,71.30666667,72.22666667,74.38666667
,MARGIN ,36.025,38.23,39.12333333,29.51333333,29.99,30.15666667,29.58666667,40.8,40.23833333,42.37666667,37.33,40.43666667,41.82833333,35.95,42.74333333,43.88166667,44.40166667,41.02833333,41.385,38.615,39.10833333,39.43166667,44.69666667,45.95333333,47.40833333,46.045,46.57,48.00333333,48.74333333,46.14,42.98833333,42.31,42.33666667,42.24666667,43.70166667,42.67833333,42.56666667,43.75,45.04666667,36.01333333,35.68333333,42.11333333,41.74,38.53333333,38.66333333,37.83333333,38.98,41.86666667,40.89666667,40.08333333,38.57333333,48.335,55.69666667,51.34,51.79333333,44.93,44.49,50.89333333,50.02,48.46333333
,CASSAVA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMGATE,"Cassava, fresh tubers for food",13.64,13.06,13.44,13.1,12.15,12.63,12.24,11.88,12.13,11.94,11.48,12.18,12.78,12.29,12.94,13.43,12.79,13.25,13.22,12.98,13.31,12.94,13.47,13.24,14.62,14.08,13.93,14.96,15.73,14.76,14.92,14.99,15.98,16.32,15.57,16.43,16.76,17.33,18.28,15.81,19.88,19.39,22.53,20.13,21.65,19.68,21.37,21.16,16.78,17.31,17.4,16.21,15.88,20.57,14.07,20.24,16.33,16.8,16.41,18.5
,"Cassava, fresh tubers for industrial use",5.13,5.27,6.27,5.82,5.29,5.39,5.24,5.48,4.71,6.04,5.59,5.7,4.34,4.77,4.51,4.93,5.2,5.01,5.85,5.33,5.09,5.7,6.41,6.12,5.99,5.51,6.01,6.24,6.06,5.81,6.49,7,5.44,5.64,6.67,6.21,8.14,7.56,9.3,5.75,9.48,10.17,4.43,10,9.24,11.52,12.37,9.32,6.87,4.83,4.32,4.7,6.37,12.82,14.85,7.37,13.62,4.12,7.16,14.66
